Tabela,Colunas,Registros,Detalhes_Colunas
agno_users,7,2,"[{'name': 'id', 'type': 'INTEGER', 'nullable': False, 'primary_key': False}, {'name': 'username', 'type': 'VARCHAR(50)', 'nullable': False, 'primary_key': False}, {'name': 'email', 'type': 'VARCHAR(255)', 'nullable': False, 'primary_key': False}, {'name': 'full_name', 'type': 'VARCHAR(255)', 'nullable': True, 'primary_key': False}, {'name': 'is_active', 'type': 'BOOLEAN', 'nullable': True, 'primary_key': False}, {'name': 'created_at', 'type': 'TIMESTAMP', 'nullable': True, 'primary_key': False}, {'name': 'updated_at', 'type': 'TIMESTAMP', 'nullable': True, 'primary_key': False}]"
agno_agents,16,8,"[{'name': 'id', 'type': 'INTEGER', 'nullable': False, 'primary_key': False}, {'name': 'user_id', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'name', 'type': 'VARCHAR(255)', 'nullable': False, 'primary_key': False}, {'name': 'description', 'type': 'TEXT', 'nullable': True, 'primary_key': False}, {'name': 'role', 'type': 'VARCHAR(255)', 'nullable': True, 'primary_key': False}, {'name': 'model_provider', 'type': 'VARCHAR(20)', 'nullable': False, 'primary_key': False}, {'name': 'model_id', 'type': 'VARCHAR(100)', 'nullable': False, 'primary_key': False}, {'name': 'instructions', 'type': 'JSONB', 'nullable': False, 'primary_key': False}, {'name': 'tools', 'type': 'JSONB', 'nullable': False, 'primary_key': False}, {'name': 'configuration', 'type': 'JSONB', 'nullable': False, 'primary_key': False}, {'name': 'is_active', 'type': 'BOOLEAN', 'nullable': True, 'primary_key': False}, {'name': 'memory_enabled', 'type': 'BOOLEAN', 'nullable': True, 'primary_key': False}, {'name': 'rag_enabled', 'type': 'BOOLEAN', 'nullable': True, 'primary_key': False}, {'name': 'rag_index_id', 'type': 'VARCHAR(255)', 'nullable': True, 'primary_key': False}, {'name': 'created_at', 'type': 'TIMESTAMP', 'nullable': True, 'primary_key': False}, {'name': 'updated_at', 'type': 'TIMESTAMP', 'nullable': True, 'primary_key': False}]"
agno_workflow_agents,6,0,"[{'name': 'id', 'type': 'INTEGER', 'nullable': False, 'primary_key': False}, {'name': 'workflow_id', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'agent_id', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'position', 'type': 'INTEGER', 'nullable': False, 'primary_key': False}, {'name': 'node_config', 'type': 'JSONB', 'nullable': True, 'primary_key': False}, {'name': 'created_at', 'type': 'TIMESTAMP', 'nullable': True, 'primary_key': False}]"
agno_chat_sessions,8,0,"[{'name': 'id', 'type': 'UUID', 'nullable': False, 'primary_key': False}, {'name': 'user_id', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'agent_id', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'workflow_id', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'session_name', 'type': 'VARCHAR(255)', 'nullable': True, 'primary_key': False}, {'name': 'status', 'type': 'VARCHAR(20)', 'nullable': True, 'primary_key': False}, {'name': 'started_at', 'type': 'TIMESTAMP', 'nullable': True, 'primary_key': False}, {'name': 'ended_at', 'type': 'TIMESTAMP', 'nullable': True, 'primary_key': False}]"
admin_projects,29,1,"[{'name': 'id', 'type': 'INTEGER', 'nullable': False, 'primary_key': False}, {'name': 'name', 'type': 'VARCHAR(255)', 'nullable': False, 'primary_key': False}, {'name': 'description', 'type': 'TEXT', 'nullable': True, 'primary_key': False}, {'name': 'client_name', 'type': 'VARCHAR(255)', 'nullable': False, 'primary_key': False}, {'name': 'is_active', 'type': 'BOOLEAN', 'nullable': True, 'primary_key': False}, {'name': 'default_temperature', 'type': 'NUMERIC(3, 2)', 'nullable': True, 'primary_key': False}, {'name': 'default_personality', 'type': 'TEXT', 'nullable': True, 'primary_key': False}, {'name': 'default_tokens', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'default_response_type', 'type': 'VARCHAR(20)', 'nullable': True, 'primary_key': False}, {'name': 'additional_instructions', 'type': 'TEXT', 'nullable': True, 'primary_key': False}, {'name': 'show_sources', 'type': 'BOOLEAN', 'nullable': True, 'primary_key': False}, {'name': 'limit_to_knowledge_base', 'type': 'BOOLEAN', 'nullable': True, 'primary_key': False}, {'name': 'human_support_enabled', 'type': 'BOOLEAN', 'nullable': True, 'primary_key': False}, {'name': 'delete_chat_history', 'type': 'BOOLEAN', 'nullable': True, 'primary_key': False}, {'name': 'history_retention_hours', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'api_key', 'type': 'VARCHAR(255)', 'nullable': False, 'primary_key': False}, {'name': 'allowed_domains', 'type': 'JSONB', 'nullable': True, 'primary_key': False}, {'name': 'ui_primary_color', 'type': 'VARCHAR(7)', 'nullable': True, 'primary_key': False}, {'name': 'ui_secondary_color', 'type': 'VARCHAR(7)', 'nullable': True, 'primary_key': False}, {'name': 'ui_font_family', 'type': 'VARCHAR(100)', 'nullable': True, 'primary_key': False}, {'name': 'ui_brand_name', 'type': 'VARCHAR(100)', 'nullable': True, 'primary_key': False}, {'name': 'ui_width', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'ui_height', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'ui_theme', 'type': 'VARCHAR(10)', 'nullable': True, 'primary_key': False}, {'name': 'llamacloud_project_id', 'type': 'VARCHAR(255)', 'nullable': True, 'primary_key': False}, {'name': 'llamacloud_api_key', 'type': 'VARCHAR(255)', 'nullable': True, 'primary_key': False}, {'name': 'llamacloud_index_id', 'type': 'VARCHAR(255)', 'nullable': True, 'primary_key': False}, {'name': 'created_at', 'type': 'TIMESTAMP', 'nullable': True, 'primary_key': False}, {'name': 'updated_at', 'type': 'TIMESTAMP', 'nullable': True, 'primary_key': False}]"
project_agents,23,1,"[{'name': 'id', 'type': 'INTEGER', 'nullable': False, 'primary_key': False}, {'name': 'project_id', 'type': 'INTEGER', 'nullable': False, 'primary_key': False}, {'name': 'name', 'type': 'VARCHAR(255)', 'nullable': False, 'primary_key': False}, {'name': 'role', 'type': 'TEXT', 'nullable': False, 'primary_key': False}, {'name': 'model_provider', 'type': 'VARCHAR(20)', 'nullable': False, 'primary_key': False}, {'name': 'model_id', 'type': 'VARCHAR(100)', 'nullable': False, 'primary_key': False}, {'name': 'temperature', 'type': 'NUMERIC(3, 2)', 'nullable': True, 'primary_key': False}, {'name': 'max_tokens', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'top_p', 'type': 'NUMERIC(3, 2)', 'nullable': True, 'primary_key': False}, {'name': 'frequency_penalty', 'type': 'NUMERIC(3, 2)', 'nullable': True, 'primary_key': False}, {'name': 'presence_penalty', 'type': 'NUMERIC(3, 2)', 'nullable': True, 'primary_key': False}, {'name': 'system_instructions', 'type': 'TEXT', 'nullable': True, 'primary_key': False}, {'name': 'personality_traits', 'type': 'JSONB', 'nullable': True, 'primary_key': False}, {'name': 'response_style', 'type': 'VARCHAR(20)', 'nullable': True, 'primary_key': False}, {'name': 'enabled_tools', 'type': 'JSONB', 'nullable': True, 'primary_key': False}, {'name': 'custom_tools', 'type': 'JSONB', 'nullable': True, 'primary_key': False}, {'name': 'rag_enabled', 'type': 'BOOLEAN', 'nullable': True, 'primary_key': False}, {'name': 'knowledge_base_ids', 'type': 'JSONB', 'nullable': True, 'primary_key': False}, {'name': 'semantic_search_enabled', 'type': 'BOOLEAN', 'nullable': True, 'primary_key': False}, {'name': 'is_active', 'type': 'BOOLEAN', 'nullable': True, 'primary_key': False}, {'name': 'is_default', 'type': 'BOOLEAN', 'nullable': True, 'primary_key': False}, {'name': 'created_at', 'type': 'TIMESTAMP', 'nullable': True, 'primary_key': False}, {'name': 'updated_at', 'type': 'TIMESTAMP', 'nullable': True, 'primary_key': False}]"
project_users,12,1,"[{'name': 'id', 'type': 'INTEGER', 'nullable': False, 'primary_key': False}, {'name': 'project_id', 'type': 'INTEGER', 'nullable': False, 'primary_key': False}, {'name': 'external_user_id', 'type': 'VARCHAR(255)', 'nullable': True, 'primary_key': False}, {'name': 'username', 'type': 'VARCHAR(100)', 'nullable': True, 'primary_key': False}, {'name': 'email', 'type': 'VARCHAR(255)', 'nullable': True, 'primary_key': False}, {'name': 'full_name', 'type': 'VARCHAR(255)', 'nullable': True, 'primary_key': False}, {'name': 'is_active', 'type': 'BOOLEAN', 'nullable': True, 'primary_key': False}, {'name': 'subscription_tier', 'type': 'VARCHAR(20)', 'nullable': True, 'primary_key': False}, {'name': 'daily_message_limit', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'monthly_token_limit', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'created_at', 'type': 'TIMESTAMP', 'nullable': True, 'primary_key': False}, {'name': 'last_activity', 'type': 'TIMESTAMP', 'nullable': True, 'primary_key': False}]"
project_chat_sessions,12,0,"[{'name': 'id', 'type': 'UUID', 'nullable': False, 'primary_key': False}, {'name': 'project_id', 'type': 'INTEGER', 'nullable': False, 'primary_key': False}, {'name': 'user_id', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'session_name', 'type': 'VARCHAR(255)', 'nullable': True, 'primary_key': False}, {'name': 'agent_config', 'type': 'JSONB', 'nullable': True, 'primary_key': False}, {'name': 'message_count', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'total_tokens_used', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'avg_response_time', 'type': 'NUMERIC(10, 3)', 'nullable': True, 'primary_key': False}, {'name': 'status', 'type': 'VARCHAR(20)', 'nullable': True, 'primary_key': False}, {'name': 'started_at', 'type': 'TIMESTAMP', 'nullable': True, 'primary_key': False}, {'name': 'last_message_at', 'type': 'TIMESTAMP', 'nullable': True, 'primary_key': False}, {'name': 'ended_at', 'type': 'TIMESTAMP', 'nullable': True, 'primary_key': False}]"
project_chat_messages,12,0,"[{'name': 'id', 'type': 'INTEGER', 'nullable': False, 'primary_key': False}, {'name': 'session_id', 'type': 'UUID', 'nullable': False, 'primary_key': False}, {'name': 'role', 'type': 'VARCHAR(20)', 'nullable': False, 'primary_key': False}, {'name': 'content', 'type': 'TEXT', 'nullable': False, 'primary_key': False}, {'name': 'tokens_used', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'response_time_ms', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'model_used', 'type': 'VARCHAR(100)', 'nullable': True, 'primary_key': False}, {'name': 'tools_used', 'type': 'JSONB', 'nullable': True, 'primary_key': False}, {'name': 'intent_category', 'type': 'VARCHAR(100)', 'nullable': True, 'primary_key': False}, {'name': 'sentiment', 'type': 'VARCHAR(20)', 'nullable': True, 'primary_key': False}, {'name': 'complexity_score', 'type': 'NUMERIC(3, 2)', 'nullable': True, 'primary_key': False}, {'name': 'created_at', 'type': 'TIMESTAMP', 'nullable': True, 'primary_key': False}]"
project_usage_stats,21,7,"[{'name': 'id', 'type': 'INTEGER', 'nullable': False, 'primary_key': False}, {'name': 'project_id', 'type': 'INTEGER', 'nullable': False, 'primary_key': False}, {'name': 'date', 'type': 'DATE', 'nullable': False, 'primary_key': False}, {'name': 'total_users', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'active_users', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'new_users', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'concurrent_users_peak', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'total_chats', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'total_messages', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'avg_messages_per_chat', 'type': 'NUMERIC(10, 2)', 'nullable': True, 'primary_key': False}, {'name': 'avg_response_time_ms', 'type': 'NUMERIC(10, 2)', 'nullable': True, 'primary_key': False}, {'name': 'total_tokens_consumed', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'tokens_input', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'tokens_output', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'upload_tokens', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'daily_token_projection', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'monthly_token_projection', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'tokens_remaining', 'type': 'INTEGER', 'nullable': True, 'primary_key': False}, {'name': 'is_token_limit_approaching', 'type': 'BOOLEAN', 'nullable': True, 'primary_key': False}, {'name': 'alert_threshold_reached', 'type': 'BOOLEAN', 'nullable': True, 'primary_key': False}, {'name': 'created_at', 'type': 'TIMESTAMP', 'nullable': True, 'primary_key': False}]"
